Year,State_Abbr,State,Indicator,Percent,Low CI,High CI,Sample Size
2005,NY,New York,Percent of infants who were ever breastfed,74.6,70.8,78.1,770
2019,WA,Washington,Percent of breastfed infants who were supplemented with infant formula before 6 months,35.2,29.1,41.9,371
2019,WV,West Virginia,Percent of breastfed infants who were supplemented with infant formula before 6 months,34.2,24.3,45.7,87
2019,WI,Wisconsin,Percent of breastfed infants who were supplemented with infant formula before 6 months,22.3,15.9,30.4,169
2019,VT,Vermont,Percent of breastfed infants who were supplemented with infant formula before 6 months,27.1,21,34.2,244
2019,WY,Wyoming,Percent of breastfed infants who were supplemented with infant formula before 6 months,27.4,20.2,36,190
2018,MO,Missouri,Percent of breastfed infants who were supplemented with infant formula before 6 months,28.4,22.2,35.6,282
2018,OR,Oregon,Percent of infants who were ever breastfed,93.7,89.4,96.4,295
2018,GA,Georgia,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.4,24.5,41.4,211
2018,MI,Michigan,Percent of infants who were breastfed at 6 months,53.9,47.9,59.8,485
2018,NE,Nebraska,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,19.7,14.3,26.4,241
2017,PR,Puerto Rico,Percent of breastfed infants who were supplemented with infant formula before 6 months,,,,
2018,WV,West Virginia,Percent of infants who were exclusively breastfed through 3 months,29.9,24.4,36,286
2018,FL,Florida,Percent of breastfed infants who were supplemented with infant formula before 6 months,37.1,29.1,45.8,276
2017,LA,Louisiana,Percent of breastfed infants who were supplemented with infant formula before 6 months,24.3,17.3,32.9,215
2017,OR,Oregon,Percent of infants who were ever breastfed,93.2,87,96.5,182
2017,AR,Arkansas,Percent of breastfed infants who were supplemented with infant formula before 6 months,30.6,22.6,40,215
2017,MA,Massachusetts,Percent of infants who were breastfed at 6 months,58.1,49.7,66.2,321
2017,MI,Michigan,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,15.6,11.3,21.1,353
2017,VT,Vermont,Percent of infants who were exclusively breastfed through 3 months,58.6,52.4,64.6,355
2017,AZ,Arizona,Percent of breastfed infants who were supplemented with infant formula before 6 months,42.8,35.1,50.7,219
2017,VI,Virgin Islands,Percent of infants who were breastfed at 12 months,,,,
2017,HI,Hawaii,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.7,9.4,19.5,259
2017,NY,New York,Percent of infants who were breastfed at 12 months,37.8,33,42.9,782
2017,IL,Illinois,Percent of breastfed infants who were supplemented with infant formula before 3 months,39.2,33.6,45.2,419
2017,MS,Mississippi,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,17.5,12.8,23.4,303
2017,OK,Oklahoma,Percent of infants who were exclusively breastfed through 6 months,23.7,19,29.1,343
